id,name,product_code,price,base_price,category,image_path,in_stock,featured,source
181,"Bottle 8oz 44665 330",PROD-0181,0,,Accessories,/images/BOTTLE_8oz_44665_330.webp,true,false,filename
182,"Bottle 8oz 680 Bip1671",PROD-0182,0,,Accessories,/images/BOTTLE_8oz_680_BIP1671.webp,true,false,filename
183,"Bottle 8oz Bbid 22 210",PROD-0183,0,,Accessories,/images/BOTTLE_8oz_BBID-22_210.webp,true,false,filename
184,"Bottle 8oz Bbid 26 290",PROD-0184,0,,Accessories,/images/BOTTLE_8oz_BBID-26_290.webp,true,false,filename
185,"Bottle 8oz Bbid 40 340",PROD-0185,0,,Accessories,/images/BOTTLE_8oz_BBID-40_340.webp,true,false,filename
186,"Bottle 8oz Bbid 43 250",PROD-0186,0,,Accessories,/images/BOTTLE_8oz_BBID-43_250.webp,true,false,filename
187,"Bottle 8oz Gbs039 380",PROD-0187,0,,Accessories,/images/BOTTLE_8oz_GBS039_380.webp,true,false,filename
188,"Bottle 8oz Rts003 390",PROD-0188,0,,Accessories,/images/BOTTLE_8oz_RTS003_390.webp,true,false,filename
189,"Bottle 8oz Bbid 189 320",PROD-0189,0,,Accessories,/images/BOTTLE_8oz_bbid-189_320_.webp,true,false,filename
190,"Bottle 9oz 210 Bbid 198",PROD-0190,0,,Accessories,/images/BOTTLE_9oz_210_BBID-198.webp,true,false,filename
191,"Bottle 9oz 260 Gb0416",PROD-0191,0,,Accessories,/images/BOTTLE_9oz_260_GB0416.webp,true,false,filename
192,"Bottle 9oz 365 Bbid 14",PROD-0192,0,,Accessories,/images/BOTTLE_9oz_365_BBID-14.webp,true,false,filename
193,"Bottle 9oz 380 Bip1319",PROD-0193,0,,Accessories,/images/BOTTLE_9oz_380_BIP1319.webp,true,false,filename
194,"Bottle A 3 280",PROD-0194,0,,Accessories,/images/BOTTLE_A-3_280.webp,true,false,filename
195,"Bottle Brush 110",PROD-0195,0,,Accessories,/images/BOTTLE_BRUSH_110.webp,true,false,filename
196,"Bottle Brush 38457 320",PROD-0196,0,,Accessories,/images/BOTTLE_BRUSH_38457_320.webp,true,false,filename
197,"Bottle Brush B B234 260",PROD-0197,0,,Accessories,/images/BOTTLE_BRUSH_B-B234_260.webp,true,false,filename
198,"Bottle Brush Bl 6376 220",PROD-0198,0,,Accessories,/images/BOTTLE_BRUSH_BL-6376_220.webp,true,false,filename
199,"Bottle Brush Bpf 14 250",PROD-0199,0,,Accessories,/images/BOTTLE_BRUSH_BPF-14_250.webp,true,false,filename
200,"Bottle Drainer 1850",PROD-0200,0,,Accessories,/images/BOTTLE_DRAINER_1850_.webp,true,false,filename
201,"Bottle Drying Rack 650 Bbid 242",PROD-0201,0,,Accessories,/images/BOTTLE_DRYING_RACK_650_BBID-242.webp,true,false,filename
202,"Bottle Drying Rack Bbid 242 650",PROD-0202,0,,Accessories,/images/BOTTLE_DRYING_RACK_BBID-242_650.webp,true,false,filename
203,"Bottle Drying Rock Zzx 8092 280",PROD-0203,0,,Accessories,/images/BOTTLE_DRYING_ROCK_ZZX-8092_280.webp,true,false,filename
204,"Bottle Nipples 144pcs Bag Bb 12 50",PROD-0204,0,,Accessories,/images/BOTTLE_NIPPLES_144pcs_bag_BB-12_50.webp,true,false,filename
205,"Bottle Nipple 2pcs 180 48348",PROD-0205,0,,Accessories,/images/BOTTLE_NIPPLE_2pcs_180_48348.webp,true,false,filename
